38,346,0.06
39,347,0.04
39,348,0.06
39,349,0.07
39,350,0.04
39,351,0.05
39,352,0.06
39,353,0.07
39,354,0.12
40,355,0.05
41,356,0.04
41,357,0.05
41,358,0.05
42,359,0.15
42,360,0.05
43,361,0.04
43,362,0.05
43,363,0.07
43,364,0.07
43,365,0.05
43,366,0.05
43,367,0.08
43,368,0.08
43,369,0.04
43,370,0.06
43,371,0.13
43,372,0.11
43,373,0.11
43,374,0.13
43,375,0.04
43,376,0.1
44,377,0.07
44,378,0.05
44,379,0.12
44,380,0.06
44,381,0.21
44,382,0.1
44,383,0.08
44,384,0.04
44,385,0.12
44,298,0.08
45,386,0.07
45,387,0.1
45,388,0.07
45,389,0.04
45,390,0.05
45,391,0.04
45,392,0.04
45,393,0.04
45,394,0.04
46,361,0.05
46,395,0.17
46,396,0.1
46,397,0.05
46,398,0.05
46,399,0.08
46,400,0.05
47,401,0.04
48,402,0.07
48,403,0.06
48,404,0.07
48,405,0.05
49,406,0.21
50,407,0.04
50,408,0.05
51,409,0.05
51,410,0.04
51,411,0.21
51,314,0.07
51,412,0.07
51,413,0.04
51,414,0.05
51,415,0.06
51,416,0.07
51,146,0.12
51,417,0.04
51,185,0.05
51,418,0.08
51,419,0.11
51,313,0.13
51,420,0.1
51,331,0.11
51,421,0.04
51,422,0.25
51,423,0.07
51,424,0.04
51,425,0.05
51,318,0.07
51,426,0.07
51,151,0.06
51,427,0.13
51,428,0.1
51,199,0.25
51,320,0.1
51,159,0.14
51,337,0.05
51,429,0.05
51,430,0.04
51,172,0.04
51,325,0.04
51,431,0.29
51,432,0.07
51,321,0.07
51,433,0.04
51,160,0.2
51,332,0.17
51,175,0.11
51,434,0.04
51,190,0.04
51,435,0.04
51,326,0.07
51,333,0.08
51,436,0.05
51,328,0.31
51,180,0.12
51,437,0.21
51,438,0.5
51,439,0.04
51,440,0.05
51,324,0.07
51,441,0.08
51,442,0.11
51,443,0.14
51,444,0.05
51,445,0.08
51,168,0.63
51,446,0.12
51,447,0.14
